AA1R	comp577	8.49
AA1R	comp578	10.52
AA1R	comp579	9.72
AA1R	comp580	9.4
AA1R	comp581	7.15
AA1R	comp582	6.73
AA1R	comp583	6.96
AA1R	comp584	6.82
AA1R	comp585	6.89
AA1R	comp586	7.11
AA1R	comp587	6.52
AA1R	comp588	6.8
AA1R	comp589	6.5
AA1R	comp590	6.15
AA1R	comp591	6.2
AA1R	comp592	6.91
AA1R	comp593	8.578396073
AA1R	comp594	7.24
AA1R	comp595	7.46
AA1R	comp596	6.03
AA1R	comp597	7.09
AA1R	comp598	6.14
AA1R	comp599	7.5
AA1R	comp600	7.73
AA1R	comp601	7.76
AA1R	comp602	8.28
AA1R	comp603	7.39
AA1R	comp604	5.79
AA1R	comp605	7.7
AA1R	comp606	7.99
AA1R	comp607	7.82
AA1R	comp608	8.07
AA1R	comp609	8.22
AA1R	comp610	7.92
AA1R	comp611	6.66
AA1R	comp612	6.32
AA1R	comp613	6.45
AA1R	comp614	5.61
AA1R	comp615	6.5
AA1R	comp616	6.89
AA1R	comp617	6
AA1R	comp618	5.31
AA1R	comp619	5.54
AA1R	comp620	5.01
AA1R	comp621	6.92
AA1R	comp622	5.8
AA1R	comp623	7.13
AA1R	comp624	7.41
AA1R	comp625	5.22
AA1R	comp626	5.95
AA1R	comp627	6.59
AA1R	comp628	6.44
AA1R	comp629	6.82
AA1R	comp630	5.38
AA1R	comp631	7.1
AA1R	comp632	5.65
AA1R	comp633	6.39
AA1R	comp634	6.45
AA1R	comp635	6.65
AA1R	comp636	7.19
AA1R	comp637	7.16
AA1R	comp638	6.69
AA1R	comp639	6.9
AA1R	comp640	7.04
AA1R	comp641	6.67
AA1R	comp642	5.95
AA1R	comp643	7.98
AA1R	comp644	7.57
AA1R	comp645	5.98
AA1R	comp646	5.97
AA1R	comp647	6.75
AA1R	comp648	6.92
AA1R	comp649	6.73
AA1R	comp650	7.3
AA1R	comp651	7
AA1R	comp652	7.46
AA1R	comp653	8.22
AA1R	comp654	8.05
AA1R	comp655	6.8
AA1R	comp656	6.16
AA1R	comp657	5.53
AA1R	comp658	7.02
AA1R	comp659	7.05
AA1R	comp660	7.04
AA1R	comp661	7.64
AA1R	comp662	5.59
AA1R	comp663	5.53
AA1R	comp664	5.8
AA1R	comp665	7.52
AA1R	comp666	7.69
AA1R	comp667	9.4
AA1R	comp668	5.64
AA1R	comp669	6.96
AA1R	comp670	7
AA1R	comp671	7.52
AA1R	comp672	7.38
AA1R	comp673	7.18
AA1R	comp674	7.18
AA1R	comp675	5.98
AA1R	comp676	5.6
AA1R	comp677	5.62
AA1R	comp678	6.48
AA1R	comp679	6.51
AA1R	comp680	7.28
AA1R	comp681	7.08
AA1R	comp682	7.32
AA1R	comp683	7.42
AA1R	comp684	7.17
AA1R	comp685	7.25
AA1R	comp686	6.7
AA1R	comp687	6.65
AA1R	comp688	6.42
AA1R	comp689	7.39
AA1R	comp690	7.42
AA1R	comp691	7.64
AA1R	comp692	7.24
AA1R	comp693	6.85
AA1R	comp694	6.88
AA1R	comp695	7.1
AA1R	comp696	6.92
AA1R	comp697	7
AA1R	comp698	7.02
AA1R	comp699	6.41
AA1R	comp700	6.17
AA1R	comp701	7.51
AA1R	comp702	7.24
AA1R	comp703	6.98
AA1R	comp704	7.18
AA1R	comp705	7.42
AA1R	comp706	7.2
AA1R	comp707	7.74
AA1R	comp708	7.3
AA1R	comp709	7.68
AA1R	comp710	8.11
AA1R	comp711	7.49
AA1R	comp712	7.83
AA1R	comp713	6.73
AA1R	comp714	5.6875
AA1R	comp715	7.26
AA1R	comp716	8.145
AA1R	comp717	7.35
AA1R	comp718	8.7
AA1R	comp719	6.56
AA1R	comp720	6.23
AA1R	comp721	5.38
AA1R	comp722	5.96
AA1R	comp723	5.85
AA1R	comp724	6.6
AA1R	comp725	7.4
AA1R	comp726	6.93
AA1R	comp727	6.82
AA1R	comp728	5.77
AA1R	comp729	6.57
AA1R	comp730	7.57
AA1R	comp731	6.75
AA1R	comp732	6.68
AA1R	comp733	7.26
AA1R	comp734	6.34
AA1R	comp735	7.81
AA1R	comp736	8.11
AA1R	comp737	7.48
AA1R	comp738	7.48
AA1R	comp739	6.88
AA1R	comp740	7.41
AA1R	comp741	6.68
AA1R	comp742	5.92
AA1R	comp743	6.11
AA1R	comp744	6.82
AA1R	comp745	7.09
AA1R	comp746	6.51
AA1R	comp747	5.85
AA1R	comp748	6.42
AA1R	comp749	4.93
AA1R	comp750	7.15
AA1R	comp751	6.59
AA1R	comp752	6.62
AA1R	comp753	7.07
AA1R	comp754	6.94
AA1R	comp755	6.56
AA1R	comp756	6.86
AA1R	comp757	6.72
AA1R	comp758	6.83
AA1R	comp759	6.81
AA1R	comp760	6.43
AA1R	comp761	6.57
AA1R	comp762	6.92
AA1R	comp763	7.32
AA1R	comp764	7.88
AA1R	comp765	7.65
AA1R	comp766	7.86
AA1R	comp767	7.59
AA1R	comp768	6.04
AA1R	comp769	7.179142011
AA1R	comp770	7.170696227
AA1R	comp771	7.088309841
AA1R	comp772	7.034798299
AA1R	comp773	6.982966661
AA1R	comp774	6.982966661
AA1R	comp775	6.928117993
AA1R	comp776	6.759450752
AA1R	comp777	6.605548319
AA1R	comp778	7.24
AA1R	comp779	7.095
AA1R	comp780	7.1
AA1R	comp781	8.08
AA1R	comp782	7.96
AA1R	comp783	7.37
AA1R	comp784	8.03
AA1R	comp785	7.92
AA1R	comp786	7.17
